candidate_id,family,qp_index,qp_deg,azimuth_or_peak_index,azimuth_deg,axial_index,axial_ratio,preshape_index,preshape_id,status,reason,maximum_point_residual_m,maximum_normal_residual_rad
contactopt_g_q00_a00_z0_p0,GLOBAL,0,0.0,0,0.0,0,0.1,0,P0,POSE_GENERATED,,0.014917511723202331,1.5513609720790775
contactopt_g_q00_a00_z1_p0,GLOBAL,0,0.0,0,0.0,1,0.3,0,P0,POSE_GENERATED,,0.011711252558624806,1.4962471158753974
contactopt_g_q00_a00_z2_p0,GLOBAL,0,0.0,0,0.0,2,0.5,0,P0,POSE_GENERATED,,0.013764246022676471,1.5112124674134255
contactopt_g_q00_a00_z3_p0,GLOBAL,0,0.0,0,0.0,3,0.7,0,P0,POSE_GENERATED,,0.014743085009124204,1.359459611150855
contactopt_g_q00_a00_z4_p0,GLOBAL,0,0.0,0,0.0,4,0.9,0,P0,POSE_GENERATED,,0.010828150027663932,1.5269714452463898
contactopt_g_q00_a01_z0_p0,GLOBAL,0,0.0,1,,0,0.1,0,P0,SEED_GEOMETRY_REJECT,POINT_NORMAL_ALIGNMENT_OPPOSED_NORMAL_FAILED,,
contactopt_g_q00_a01_z1_p0,GLOBAL,0,0.0,1,,1,0.3,0,P0,SEED_GEOMETRY_REJECT,NO_USABLE_OBJECT_REGION_IN_TARGET_WINDOW,,
contactopt_g_q00_a01_z2_p0,GLOBAL,0,0.0,1,22.5,2,0.5,0,P0,POSE_GENERATED,,0.010128453437892662,1.5287800211992126
contactopt_g_q00_a01_z3_p0,GLOBAL,0,0.0,1,22.5,3,0.7,0,P0,POSE_GENERATED,,0.014824891633035263,1.360077238694088
contactopt_g_q00_a01_z4_p0,GLOBAL,0,0.0,1,22.5,4,0.9,0,P0,POSE_GENERATED,,0.010452379585764157,1.5271951947954547
contactopt_g_q00_a02_z0_p0,GLOBAL,0,0.0,2,45.0,0,0.1,0,P0,POSE_GENERATED,,0.014812073763103669,1.5517748453424647
contactopt_g_q00_a02_z1_p0,GLOBAL,0,0.0,2,45.0,1,0.3,0,P0,POSE_GENERATED,,0.011394253667602442,1.4943865719438862
contactopt_g_q00_a02_z2_p0,GLOBAL,0,0.0,2,45.0,2,0.5,0,P0,POSE_GENERATED,,0.009843936331178178,1.5262722904490829
contactopt_g_q00_a02_z3_p0,GLOBAL,0,0.0,2,45.0,3,0.7,0,P0,POSE_GENERATED,,0.014428170024235312,1.3631804827068899
contactopt_g_q00_a02_z4_p0,GLOBAL,0,0.0,2,45.0,4,0.9,0,P0,POSE_GENERATED,,0.010387983075775025,1.5272138843009098
contactopt_g_q00_a03_z0_p0,GLOBAL,0,0.0,3,,0,0.1,0,P0,SEED_GEOMETRY_REJECT,POINT_NORMAL_ALIGNMENT_OPPOSED_NORMAL_FAILED,,
contactopt_g_q00_a03_z1_p0,GLOBAL,0,0.0,3,67.5,1,0.3,0,P0,POSE_GENERATED,,0.013775591303947062,1.5530068419260779
contactopt_g_q00_a03_z2_p0,GLOBAL,0,0.0,3,67.5,2,0.5,0,P0,POSE_GENERATED,,0.009787816517143935,1.241567684624548
contactopt_g_q00_a03_z3_p0,GLOBAL,0,0.0,3,67.5,3,0.7,0,P0,POSE_GENERATED,,0.01480822401434839,1.371169205316786
contactopt_g_q00_a03_z4_p0,GLOBAL,0,0.0,3,,4,0.9,0,P0,SEED_GEOMETRY_REJECT,POINT_NORMAL_ALIGNMENT_OPPOSED_NORMAL_FAILED,,
contactopt_g_q00_a04_z0_p0,GLOBAL,0,0.0,4,,0,0.1,0,P0,SEED_GEOMETRY_REJECT,POINT_NORMAL_ALIGNMENT_OPPOSED_NORMAL_FAILED,,
contactopt_g_q00_a04_z1_p0,GLOBAL,0,0.0,4,90.0,1,0.3,0,P0,POSE_GENERATED,,0.011678977260782158,1.4807071488992223
contactopt_g_q00_a04_z2_p0,GLOBAL,0,0.0,4,90.0,2,0.5,0,P0,POSE_GENERATED,,0.009602586579004055,1.5262830217107177
contactopt_g_q00_a04_z3_p0,GLOBAL,0,0.0,4,90.0,3,0.7,0,P0,POSE_GENERATED,,0.014647359777429184,1.3674489511087853
contactopt_g_q00_a04_z4_p0,GLOBAL,0,0.0,4,,4,0.9,0,P0,SEED_GEOMETRY_REJECT,POINT_NORMAL_ALIGNMENT_OPPOSED_NORMAL_FAILED,,
contactopt_g_q00_a05_z0_p0,GLOBAL,0,0.0,5,,0,0.1,0,P0,SEED_GEOMETRY_REJECT,POINT_NORMAL_ALIGNMENT_OPPOSED_NORMAL_FAILED,,
contactopt_g_q00_a05_z1_p0,GLOBAL,0,0.0,5,112.5,1,0.3,0,P0,POSE_GENERATED,,0.014289520132612726,1.536019500551199
contactopt_g_q00_a05_z2_p0,GLOBAL,0,0.0,5,112.5,2,0.5,0,P0,POSE_GENERATED,,0.010128453437892706,1.5287800211992124
contactopt_g_q00_a05_z3_p0,GLOBAL,0,0.0,5,112.5,3,0.7,0,P0,POSE_GENERATED,,0.014899481115716498,1.3669804314741831
contactopt_g_q00_a05_z4_p0,GLOBAL,0,0.0,5,112.5,4,0.9,0,P0,POSE_GENERATED,,0.011022794023312802,1.5268667806975
contactopt_g_q00_a06_z0_p0,GLOBAL,0,0.0,6,135.0,0,0.1,0,P0,POSE_GENERATED,,0.01472852647360059,1.4740046429869678
contactopt_g_q00_a06_z1_p0,GLOBAL,0,0.0,6,135.0,1,0.3,0,P0,POSE_GENERATED,,0.011647248360701419,1.4929146433274747
contactopt_g_q00_a06_z2_p0,GLOBAL,0,0.0,6,135.0,2,0.5,0,P0,POSE_GENERATED,,0.009843936331178178,1.5262722904490829
contactopt_g_q00_a06_z3_p0,GLOBAL,0,0.0,6,135.0,3,0.7,0,P0,POSE_GENERATED,,0.014818268288014698,1.3642647949410993
contactopt_g_q00_a06_z4_p0,GLOBAL,0,0.0,6,,4,0.9,0,P0,SEED_GEOMETRY_REJECT,POINT_NORMAL_ALIGNMENT_OPPOSED_NORMAL_FAILED,,
contactopt_g_q00_a07_z0_p0,GLOBAL,0,0.0,7,157.5,0,0.1,0,P0,POSE_GENERATED,,0.014734766181351038,1.5008526679219443
contactopt_g_q00_a07_z1_p0,GLOBAL,0,0.0,7,157.5,1,0.3,0,P0,POSE_GENERATED,,0.013993696149921223,1.5354071976896027
contactopt_g_q00_a07_z2_p0,GLOBAL,0,0.0,7,157.5,2,0.5,0,P0,POSE_GENERATED,,0.009737136141368579,1.5283107890632388
contactopt_g_q00_a07_z3_p0,GLOBAL,0,0.0,7,157.5,3,0.7,0,P0,POSE_GENERATED,,0.014536503720461232,1.3672215631580968
contactopt_g_q00_a07_z4_p0,GLOBAL,0,0.0,7,,4,0.9,0,P0,SEED_GEOMETRY_REJECT,POINT_NORMAL_ALIGNMENT_OPPOSED_NORMAL_FAILED,,
contactopt_g_q00_a08_z0_p0,GLOBAL,0,0.0,8,180.0,0,0.1,0,P0,POSE_GENERATED,,0.014913968577412645,1.513355634850915
contactopt_g_q00_a08_z1_p0,GLOBAL,0,0.0,8,180.0,1,0.3,0,P0,POSE_GENERATED,,0.012355813117300416,1.4791790346091767
contactopt_g_q00_a08_z2_p0,GLOBAL,0,0.0,8,180.0,2,0.5,0,P0,POSE_GENERATED,,0.013737767210620087,1.5113502286544531
contactopt_g_q00_a08_z3_p0,GLOBAL,0,0.0,8,180.0,3,0.7,0,P0,POSE_GENERATED,,0.014725538097994765,1.3703292330967518
contactopt_g_q00_a08_z4_p0,GLOBAL,0,0.0,8,180.0,4,0.9,0,P0,POSE_GENERATED,,0.010823465863779561,1.5268664978364026
contactopt_g_q00_a09_z0_p0,GLOBAL,0,0.0,9,202.5,0,0.1,0,P0,POSE_GENERATED,,0.014989013511405207,1.5190705621973828
contactopt_g_q00_a09_z1_p0,GLOBAL,0,0.0,9,202.5,1,0.3,0,P0,POSE_GENERATED,,0.014137205594283045,1.5568312298445857
