candidate_id,descriptor_id,graspgenx_score,source_sample_index,anchor_face_index,anchor_position_object_m,closure_status,contact_face_indices,contact_positions_object_m,fast_filter,fast_reasons,diversity_selected_after_fast_filter,diversity_selection_status,sequential_closure_sweep_pass,minimum_table_clearance_m,minimum_clearance_link,minimum_clearance_finger_stage,minimum_clearance_joint_position_rad,checked_state_count,maximum_joint_increment_rad,endpoint_only_table_clearance_m,first_table_violation_clearance_m,first_table_violation_link,first_table_violation_finger_stage,unresolved_checks,task_status,worst_task_margin,lower_tail_mean_margin,required_peak_normal_force_n,maximum_joint_load_utilization,maximum_generalized_joint_torque_nm,wrist_load_utilization,sensitivity,task_failure_reason,nominal_balance_infeasible_count,evidence
graspgenx_000,kcg_3f_preshape_00,0.00019600616360548884,1401,100120,-0.0187083724 0.0150149502 0.0161666674,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_99264,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_001,kcg_3f_preshape_00,0.0001872461725724861,1509,100120,-0.0187083724 0.0150149502 0.0161666674,CLOSURE_REJECT,,,FAST_REJECT,NO_EFFECTIVE_CONTACT_finger_1_pad,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_002,kcg_3f_preshape_00,0.00018368331075180322,1485,100120,-0.0187083724 0.0150149502 0.0161666674,CLOSURE_REJECT,,,FAST_REJECT,NO_EFFECTIVE_CONTACT_finger_1_pad,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_003,kcg_3f_preshape_00,0.00017942972772289068,1515,100120,-0.0187083724 0.0150149502 0.0161666674,CLOSURE_REJECT,,,FAST_REJECT,NO_EFFECTIVE_CONTACT_finger_1_pad,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_004,kcg_3f_preshape_00,0.00016379078442696482,1395,100120,-0.0187083724 0.0150149502 0.0161666674,CLOSURE_REJECT,100420,-0.0136155888 -0.0197532632 0.0155439961,FAST_REJECT,NO_EFFECTIVE_CONTACT_finger_2_pad,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_005,kcg_3f_preshape_00,0.00015996683214325458,1503,100120,-0.0187083724 0.0150149502 0.0161666674,CLOSURE_REJECT,,,FAST_REJECT,NO_EFFECTIVE_CONTACT_finger_1_pad,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_006,kcg_3f_preshape_00,0.0001574221532791853,1407,100120,-0.0187083724 0.0150149502 0.0161666674,CLOSURE_REJECT,99257,-0.0155460002 -0.0182725511 0.00248442164,FAST_REJECT,NO_EFFECTIVE_CONTACT_finger_2_pad,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_007,kcg_3f_preshape_00,0.0001408683165209368,1479,100120,-0.0187083724 0.0150149502 0.0161666674,CLOSURE_REJECT,,,FAST_REJECT,NO_EFFECTIVE_CONTACT_finger_1_pad,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_008,kcg_3f_preshape_00,0.00013960637443233281,1389,100120,-0.0187083724 0.0150149502 0.0161666674,CLOSURE_REJECT,100397,-0.0163746224 -0.0175287244 0.0216218438,FAST_REJECT,NO_EFFECTIVE_CONTACT_finger_2_pad,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_009,kcg_3f_preshape_00,0.00804161187261343,2799,99928,0.00364914212 0.0237094019 0.0161666674,CLOSURE_REJECT,,,FAST_REJECT,NO_EFFECTIVE_CONTACT_finger_1_pad,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
