candidate_id,descriptor_id,graspgenx_score,source_sample_index,anchor_face_index,anchor_position_object_m,closure_status,contact_face_indices,contact_positions_object_m,fast_filter,fast_reasons,diversity_selected_after_fast_filter,diversity_selection_status,sequential_closure_sweep_pass,minimum_table_clearance_m,minimum_clearance_link,minimum_clearance_finger_stage,minimum_clearance_joint_position_rad,checked_state_count,maximum_joint_increment_rad,endpoint_only_table_clearance_m,first_table_violation_clearance_m,first_table_violation_link,first_table_violation_finger_stage,unresolved_checks,task_status,worst_task_margin,lower_tail_mean_margin,required_peak_normal_force_n,maximum_joint_load_utilization,maximum_generalized_joint_torque_nm,wrist_load_utilization,sensitivity,task_failure_reason,nominal_balance_infeasible_count,evidence
graspgenx_000,kcg_3f_preshape_00,0.001029220293276012,1725,19700,-0.00583499877 0.022922315 -0.0157691671,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_19661,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_001,kcg_3f_preshape_00,0.0010117327328771353,1713,19700,-0.00583499877 0.022922315 -0.0157691671,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_18360,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_002,kcg_3f_preshape_00,0.0009933855617418885,1731,19700,-0.00583499877 0.022922315 -0.0157691671,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21587,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_003,kcg_3f_preshape_00,0.0009743867558427155,1701,19700,-0.00583499877 0.022922315 -0.0157691671,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_9833,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_004,kcg_3f_preshape_00,0.0009616663446649909,1707,19700,-0.00583499877 0.022922315 -0.0157691671,CLOSURE_REJECT,18119,-0.0192810968 -0.00847327543 -0.002017907,FAST_REJECT,NO_EFFECTIVE_CONTACT_finger_2_pad,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_005,kcg_3f_preshape_00,0.000934548384975642,1719,19700,-0.00583499877 0.022922315 -0.0157691671,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_19587,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_006,kcg_3f_preshape_00,0.0009271318558603525,1623,19700,-0.00583499877 0.022922315 -0.0157691671,CLOSURE_REJECT,,,FAST_REJECT,NO_EFFECTIVE_CONTACT_finger_1_pad,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_007,kcg_3f_preshape_00,0.0008212461252696812,1839,21226,-0.0140819925 0.0185721213 -0.0161036003,CLOSURE_REJECT,,,FAST_REJECT,NO_EFFECTIVE_CONTACT_finger_1_pad,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_008,kcg_3f_preshape_00,0.0008134483359754086,1617,19700,-0.00583499877 0.022922315 -0.0157691671,CLOSURE_REJECT,,,FAST_REJECT,NO_EFFECTIVE_CONTACT_finger_1_pad,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_009,kcg_3f_preshape_00,0.009818843565881252,3015,20910,0.00583499877 0.022922315 -0.0157691671,CLOSURE_REJECT,20949,0.0211725745 -0.0105589372 -0.017629763,FAST_REJECT,NO_EFFECTIVE_CONTACT_finger_2_pad,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
