candidate_id,anchor_face_index,anchor_position_object_m,closure_status,contact_face_indices,contact_positions_object_m,fast_filter,fast_reasons,unresolved_checks,task_status,worst_task_margin,lower_tail_mean_margin,required_peak_normal_force_n,maximum_joint_load_utilization,maximum_generalized_joint_torque_nm,wrist_load_utilization,sensitivity,task_failure_reason,nominal_balance_infeasible_count,evidence
candidate_00,99364,-0.00184914407 -0.0239210902 -0.00190258557,CLOSURE_REJECT,99605 98800,0.0225853334 -0.00808914943 0.00619658096 | 0.000262233304 0.0239914165 0.000981750788,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_99150,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_01,100005,-0.00526558532 0.02196603 0.0300366032,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_7285,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_02,98560,0.023272071 0.00582631365 0.000192385399,CLOSURE_REJECT,98801,0.000500026809 0.0239836319 0.00828942588,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_99126,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_03,100541,0.000341306446 -0.0239888279 0.0228785866,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_7820,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_04,99005,-0.0213645707 0.0109149733 0.00770332674,CLOSURE_REJECT,100396 99604,-0.0161489391 -0.0177400994 0.0158003672 | 0.0225307455 -0.00823418628 0.00237736269,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_4702,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_05,99689,0.0238975426 0.00208822788 0.0300139603,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_99907,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_06,100293,-0.0218856431 -0.00561034627 0.0254593156,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_7578,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_07,100689,0.0160504668 -0.0159060319 0.0296683006,CLOSURE_SURVIVE,99777 100061 100481,0.0189944713 0.0122290224 0.0255997045 | -0.01278881 0.020294098 0.0268920722 | -0.00758567315 -0.022765417 0.0219820688,FAST_SURVIVE,,UNRESOLVED_UNTIL_PUBLIC_LEGACY_FORWARDER | UNRESOLVED_UNTIL_TOP3_LEGACY_EXACT | TABLE_AND_ARM_PATH_REQUIRE_CANDIDATE_WORLD_ROUTE,TASK_REJECT,0.6902788208999142,0.875156446895137,,,,,0.9461593556592511,PRESCRIBED_TASK_SCALE_INFEASIBLE_UNDER_OPERATION_CAP,0,OFFLINE_RESEARCH_NOT_FORMAL
candidate_08,7007,0.00070984548 0.0221767633 0.0289210749,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_7237,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_09,98980,-0.0192762321 0.0142812843 -0.00124645797,CLOSURE_REJECT,99221,-0.0188505373 -0.0148417216 0.00685058251,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_99506,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
