candidate_id,source_sample_index,anchor_face_index,anchor_position_object_m,closure_status,contact_face_indices,contact_positions_object_m,fast_filter,fast_reasons,sampled_hand_table_clearance_m,sampled_hand_table_clearance_link,sampled_hand_table_clearance_stage,unresolved_checks,task_status,worst_task_margin,lower_tail_mean_margin,required_peak_normal_force_n,maximum_joint_load_utilization,maximum_generalized_joint_torque_nm,wrist_load_utilization,sensitivity,task_failure_reason,nominal_balance_infeasible_count,evidence
candidate_00,331,28971,0.0184196845 0.000962489473 -0.0259147075,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_20905,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_01,64,20927,0.0228547305 0.0060854109 -0.0197156411,CLOSURE_SURVIVE,21069 19653 21281,0.00272390116 0.0223519993 -0.0125690705 | -0.0233832727 -0.00359655125 -0.0173411456 | 0.014057169 -0.0175533315 -0.012338067,FAST_REJECT,HAND_TABLE_PENETRATION,-0.0037457442887142145,f2Link2,PREGRASP,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_02,36,33194,0.0169530384 0.0051468381 -0.0284256354,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21193,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_03,379,33188,0.0153905033 0.00877246046 -0.0286833471,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21312,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_04,19,21309,0.0163560712 0.0152544293 -0.0173202873,CLOSURE_REJECT,19693 19642,-0.0125647868 0.0200572403 -0.0117544277 | -0.0189637625 -0.0141549768 -0.0149389844,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21117,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_05,108,21310,0.0137468449 0.0178636555 -0.0149832718,CLOSURE_REJECT,21218 19624,-0.0157369599 0.0158735408 -0.0153569593 | -0.00788461244 -0.0222991303 -0.0165011456,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_17721,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_06,132,33180,0.0107761421 0.0140599779 -0.0281093009,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_19710,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_07,198,17893,0.00769190795 0.0184020381 -0.0135710747,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_19233,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_08,299,31481,0.00649939793 0.0166788861 -0.0243341896,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21435,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_09,48,20907,0.00383387561 0.0233406862 -0.0161371856,CLOSURE_REJECT,19669 19620,-0.0221889107 0.00818686943 -0.010571326 | -0.00635888177 -0.0227809227 -0.0137558827,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_17705,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
