contact_id,x_in,y_in,x_mm,y_mm,source_page
1,-0.479,0.279,-12.17,7.09,154
2,-0.520,0.190,-13.21,4.83,154
3,-0.546,0.095,-13.87,2.41,154
4,-0.555,0.000,-14.10,0.00,154
5,-0.546,-0.095,-13.87,-2.41,154
6,-0.520,-0.190,-13.21,-4.83,154
7,-0.479,-0.279,-12.17,-7.09,154
8,-0.424,0.357,-10.77,9.07,154
9,-0.415,0.190,-10.54,4.83,154
10,-0.415,0.095,-10.54,2.41,154
11,-0.415,0.000,-10.54,0.00,154
12,-0.415,-0.095,-10.54,-2.41,154
13,-0.415,-0.190,-10.54,-4.83,154
14,-0.424,-0.357,-10.77,-9.07,154
15,-0.332,0.444,-8.43,11.28,154
16,-0.332,0.332,-8.43,8.43,154
17,-0.332,0.237,-8.43,6.02,154
18,-0.332,0.142,-8.43,3.61,155
19,-0.332,0.047,-8.43,1.19,155
20,-0.332,-0.047,-8.43,-1.19,155
21,-0.332,-0.142,-8.43,-3.61,155
22,-0.332,-0.237,-8.43,-6.02,155
23,-0.332,-0.332,-8.43,-8.43,155
24,-0.332,-0.427,-8.43,-10.85,155
25,-0.249,0.496,-6.32,12.60,155
26,-0.249,0.380,-6.32,9.65,155
27,-0.249,0.285,-6.32,7.24,155
28,-0.249,0.190,-6.32,4.83,155
29,-0.249,0.095,-6.32,2.41,155
30,-0.249,0.000,-6.32,0.00,155
31,-0.249,-0.095,-6.32,-2.41,155
32,-0.249,-0.190,-6.32,-4.83,155
33,-0.249,-0.285,-6.32,-7.24,155
34,-0.249,-0.380,-6.32,-9.65,155
35,-0.249,-0.475,-6.32,-12.07,155
36,-0.160,0.531,-4.06,13.49,155
37,-0.166,0.427,-4.22,10.85,155
38,-0.166,0.332,-4.22,8.43,155
39,-0.166,0.237,-4.22,6.02,155
40,-0.166,0.142,-4.22,3.61,155
41,-0.166,0.047,-4.22,1.19,155
42,-0.166,-0.047,-4.22,-1.19,155
43,-0.166,-0.142,-4.22,-3.61,155
44,-0.166,-0.237,-4.22,-6.02,155
45,-0.166,-0.332,-4.22,-8.43,155
46,-0.166,-0.427,-4.22,-10.85,155
47,-0.166,-0.522,-4.22,-13.26,155
48,-0.083,0.475,-2.11,12.07,155
49,-0.083,0.380,-2.11,9.65,155
50,-0.083,0.285,-2.11,7.24,155
51,-0.083,0.190,-2.11,4.83,156
52,-0.083,0.095,-2.11,2.41,156
53,-0.083,0.000,-2.11,0.00,156
54,-0.083,-0.095,-2.11,-2.41,156
55,-0.083,-0.190,-2.11,-4.83,156
56,-0.083,-0.285,-2.11,-7.24,156
57,-0.083,-0.380,-2.11,-9.65,156
58,-0.083,-0.475,-2.11,-12.07,156
59,0.000,0.522,0.00,13.26,156
60,0.000,0.427,0.00,10.85,156
61,0.000,0.332,0.00,8.43,156
62,0.000,0.237,0.00,6.02,156
63,0.000,0.142,0.00,3.61,156
64,0.000,0.047,0.00,1.19,156
